,Year,Recommendations
0,1996,"1. establish a separate budget line item for the advisory committee on minonty veterans.&&2. appropriate 125,000.00 for the fiscal year year budget for the advisory committee on minority veterans.&&3. recognize the appropnate regional and national minority organizations that serve our countrys diverse population proups and invite them as genuine partners, consultants, advisors and expert witnesses in enriching the departments commitment to serve the needs of our minomty veterans.&&4. authonze an assessment be conducted and a report submitted in fy 97 by the department of veterans affairs to determine the validity of the commuttees concern regarding ethnic representation on the rating panels and the ment review boards, as well as among the counselors who advise our minority veteran populations.&&5. establish and fund an intra agency task force, chaired by the director of the center for minonty veterans, to conduct a needs assessment for health care, benefits and compensation research of all our minonty veterans by ethnic groups and submit a report by monthyear,.&&6. instruct the under secretary for health and the under secretary for benefits restructure their organizations internal minority advisory panels to mirror that of the federal advisory committee on minority veterans.&&7. direct ethnic identifiers be included immediately on all appropnate department arpiicauion forms, particulariv the ital application form completed by ail veterans, and be correlated with department of defense manpower files and the revisions to the office of fanavement and budget directive 15.&&8. direct the director. center for minonty veterans, to establish a secretarys task force by month year to assess and recommend changes to current va cultural sensitivity policy and programs for implementation immediately upon approval of the secretary of veterans affairs. 16.&&9. authorize and fund a five member minonty veterans review commission mvrc , chaired by the chairman, advisory committee on minority veterans, with consultative authority and staff support, to conduct a senes of focus meetings with minority veterans and organizations across the country, to include the pacific, to determine the blueprint of needs and concerns, as well as recommendations, of all our minonty veterans and followed by a conference on the west coast, in the midwest. and on the east coast to report the findings to our minority veterans. their report would be presented to you for concurrence and advocacy by 1monthyear.&&10. charge the under secretary for health to take the lead in forming and funding a reassessment panel, cochaired by the director, center for minority veterans and including two members of the advisory committee on minority veterans, to review all programs for homeless minonty veterans and drug alcohol treatment for minority veterans with the purpose to implement effective, culturally appropriate, coherent and networked programs and policies by monthyear. their report would be included in our committees fiscal year year report.&&11. inform the under secretary for health to establish a minority health review panel, cochaired by a member of the advisory committee on minority veterans, to collaborate with the bureau of primary health care, health resources and administration agency, and others in determining and tmplementing the best models for health care delivery system for minority veterans, to include native alternative healing methods. their report would be made a part of our committees fiscal year year report.&&12. request the united states congress take action to make permanent the advisory commuttee on minority veterans.&&13. submut a formal request to the congress to change the expiration date of public law 102 547, native american veterans direct home loan program, from its current expirauon date of year to a permanent benefit without expiration.&&14. establish an immediate department policy that accepts without qualification the reports or evaluations by the indian health service regarding establishment of benefit anu compensation claims, including the onginal clam. if necessary, seek amendment to puchic law 103 146, section 5125.&&15. submit a request to congress to amend section 2408 of 38 u.s.c. to permit mogi vovermments, the government of amencan samoa, the government of guam and ine statuloriv recogmzed native hawatian government to be eligible for grants in aid for _ the purpose of establishing, expanding, or improving veterans cemeteries.&&16. approve the addition of three full time staff members to the center for iinonty veterans effective monthyear and the funding to establish a worldwide web sive tor the center immediately. 17 annex a,."
1,1997,"1. establish a task force headed by the director, center for minority veterans, to assess and recommend changes to the current va cultural sensitivity policy and program. the task forces recommendations should be implemented immediately upon approval by the secretary designate.&&2. establish a policy that requires decision makers to determine if va programs, services, and benefits are administered in an equitable manner and are accessible to all veterans.&&3. develop performance rating standards for all va management personnel facility directors that include rating factors to measure outreach, equality of services, and support to minority veteran programs.&&4. develop methods for communicating and disseminating information to all veterans about changes in services and benefits.&&5. increase outreach programs to veterans in geographically isolated areas.&&6. direct that va officials conduct follow up visits to sites visited by the subcommittees to ensure that recommendations have been implemented, and to evaluate the effectiveness of va programs in meeting the needs of minority veterans.&&7. establish wellness clinic outreach programs on indian reservations.&&8. examine the feasibility of a partnership between the hawaii state national guard and the department of veterans affairs that would leverage the aviation resources of the guard, through a subvention reimbursement program, to transport veterans on various islands to tripler army hospital for care.&&9. establish a demonstration project that allows veterans to use established community healthcare clinics that practice culturally sensitive healthcare and, by and large, already serve the veterans families.&&10. fill the vacant deputy director for benefits position at the vamroc with a local individual who is keenly sensitive to minority veteran needs.&&11. support, with official approval and funding, the efforts of the 29 veterans organizations in hilo who are proposing a one stop shop veterans facility which would provide accessible and consolidated va and community services to 10 recommendations continued veterans.&&12. reconsider consolidating the adjudication and benefits offices into a single entity as this is not seen as a positive move by hawaiian veterans, who view the current system as broke and ineffective.&&13. review credit hours for ptsd evaluations under the managed care model to determine the need to establish additional variables.&&14. require a joint training program for physicians and adjudicators to ensure integration between adjudication and healthcare services.&&15. replicate at other locations around the country the models of the center for aging that is being constructed at tripler hospital.&&16. establish some type of official ombudsman program whereby veterans and their families feel they can get assistance.&&17. initiate an experimental program that allows alternative healthcare treatment to be made available to appropriate veterans, through va.&&18. initiate activities to insure more standardization of computer systems, and eligibility requirements throughout the va.&&19. provide id cards to veterans with authorized benefit claims.&&20. provide funding and resources to document the asian and pacific island veterans experiences and identify their specific needs.&&21. provide funding and resources to support additional research on ptsd related depression and suicide and other related mental illnesses among asian and pacific island veterans.&&22. assist minority researchers at the pacific center for ptsd in acquiring the matsunaga study registry for future research, and to support their study of ptsd in filipino veterans.&&23. recommend vas center for women veterans support and sponsor a study of hawaiian women veterans. the study could also focus on problems and issues facing asian pacific island, caucasian, and african american women veterans.&&24. review va practices for healthcare billing and debt collection.&&25. conduct a cohort study of the 442nd, 100th, and mis veterans of wwii.&&26. give priority to awareness, education and research of cultural influences which 11 recommendations continued impact veterans willingness to avail themselves to existing services. 2 . re evaluate the policies that support the immediate decrease in va disability ratings after veterans have attended the ptsd center.&&28. investigate the claim by minority veterans that there are inconsistencies in rating board decisions for ptsd.&&29. investigate allegations that there are apparent disparities in disability ratings between mainland veterans and minority veterans in hawaii.&&30. identify and provide additional assistance for veterans who are experiencing years of delay in the resolution of their va claims.&&31. fund a survey to determine the number of samoan veterans in american samoa and on the mainland.&&32. evaluate the need for medical clinics in american samoa.&&33. re evaluate the procedures used by va employees to process forms and claims for ptsd clients veterans claim the procedures are long and convoluted, and forces them to re live their vietnam experiences.&&34. review the sba veteran loan program and identify obstacles experienced by veterans trying to start businesses.&&35. review the prrp program in hilo, hawaii, from admission requirements to residency treatment and post care, to determine the effectiveness of the program in treating veterans.&&36. mandate that all ptsd counselors clinicians in hawaii make at least one trip to the prrp on hilo to gain first hand knowledge of the residential services that are available to their clients.&&37. initiate outreach approaches with the new center for aging, located on tripler army medical center, to insure that information about the center is well advertised and that va staff working at the center are knowledgeable and open to the cultural and ethnic diversity of potential clients and families. examples toward this effort would be a scheduling monthly tours for the community, 6 appointing an advisory committee made up of veterans and community leaders representative of the population of hawaii, and c inviting local schools i.e., kamehameha schools to participate in the centers holiday activities.&&38. evaluate the effectiveness of the hawaii vamroc.&&39. develop ways that the hawaii vamroc can target for service disenfranchised 12 recommendations continued and homeless veterans who do not trust the system. this should be done in concert with veterans organizations who are championing this veteran population.&&40. develop a formal process for identifying veterans in distress and expediting services for them.&&41. ldentify the reasons that veterans families residing on the outer islands have difficulty getting honor guards from honolulu for veterans funerals and develop a process that avoids these obstacles.&&42. provide out station federal benefits counselors on each island in hawaii.&&43. establish a traveling adjudication board of appeals to neighboring hawaiian islands.&&44. offer and conduct agent orange examinations for veterans in hawaii.&&45. send a vocational rehabilitation specialist, once a month, to neighboring islands in hawail.&&46. ensure that current policies for authorizing in patient care and hospitalization in local community hospitals on the outer islands are in the best interest of the veteran and his family; particularly for acute and emergency situations.&&47. set up a system to monitor the number of appointments that are not kept by va staff with veterans and their families; initiate a system whereby these staff members are identified and formal apologies are made to these veterans and their families for their inconveniences related to this situation.&&48. develop an outreach program to find employers willing to hire veterans.&&49. develop training programs for medical personnel at tripler who treat veterans in order to improve their understanding of and communication with veteran patients.&&50. begin a tracking system to verify the complaints that veterans medical records are lost at tripler army medical center.&&51. identify a mechanism for providing family support at tripler army medical center when veterans are patients at this facility.&&52. initiate a system to collect on going statistical data on minority veterans who are treated as inpatients on the va psychiatric wards at tripler army medical center.&&53. negotiate with tripler army medical center to expand the availability of hospital beds for veterans based upon the downsizing of the military mission. 13 recommendations continued.&&54. review the efficiency of service provided to veterans at tripler.&&55. establish better communication between vamroc benefits and the veteran.&&56. include tribal veteran service officers tvso on the vas publications distribution list for updates to regulations, manuals, notices and publications that pertain to veterans benefits and services.&&57. va should identify tribal veterans representatives to attend the national veterans training institute disabled american veterans service officers academy, university of colorado, denver, colorado, to become certified claims representatives for indian veterans.&&58. va should insure that minority veterans are provided timely information regarding medical evaluations for agent orange and gulf war illnesses and the related time limits for filing claims for service.&&59. develop a closer recruitment network with veterans residing on reservations to extend employment opportunities to indian veterans.&&60. use veteran students attending sinte gieska spotted tail university and the oglala lakota college at pine ridge as veterans student workers paid by the va to assist tvsos in putting together the critical census data of the actual number of veterans residing on the reservations the outreach veterans benefits counselor, john wilson, can help with this process.&&61. support through funding, the little hoop lodge alcohol and drug treatment community facility in its continuing endeavor to reach and help the undocumented veterans suffering with ptsd.&&62. review the performance of fee physicians, under compensation and pension c p examination contracts, for paths of improvement in services to all veteran clients. an unsolicited assertion from a non indian veteran substantiated statements obtained earlier from american indian veterans that they are treated in a disrespectful manner.&&63. implement procedures for better coordination of clinic appointments for veterans residing on the pine ridge and rosebud indian reservations. 14 attachment 2."
2,1998,"1. initiate a review of the funding and operation of ptsd programs, substance abuse programs, and domiliciary care programs throughout va to determine, among other things, operational sufficiency in meeting the needs of veterans, sufficiency of funding to sustain an effective operation and adequacy of staffing to provide quality care and treatment to veterans. refer to findings 1, 2, 3, 5, 11, 12, 13, 14 and 18.&&2. retain in patient ptsd and substance abuse programs at all cost these programs serve the needs of minority veterans, who are disproportionately and more severely affected by the traumas of war.&&3. develop standard policies and procedures for domiciliary operations. refer to findings 5 13.&&4. investigate hiring and promotion practices throughout va and initiate an aggressive program for correcting grade and position imbalances, especially in areas where there are no minority rating specialist, claim examiners, hearing officers and adjudicators, and low minority representation in senior and senior executive service level positions. the review and investigation should also examine efforts to recruit minority doctors, nurses and other key medical staff personnel. refer to findings 6, 7, 8, 11 and 17.&&5. establish procedures for a systematic quality review of rating decisions, to include denials to ensure quality, consistency and compliance with rating guidelines and applicable laws. refer to findings 4 10.&&6. conduct benefits and entitlement awareness training seminars around the country to improve communications with veterans and their basic knowledge and understanding of eligibility and entitlement guidelines. refer to finding 16.&&7. establish operational guidelines for minority veterans program coordinators which include the minimum outreach efforts and standards for performance. direct facilities, without an mvpc, to appoint one as soon as possible. refer to finding 9.&&8. establish effective guidelines for investigating discrimination complaints related to medical care under title vi of the civil rights act of 1964. the current system is flawed and investigations are, in many instances referred back to the facility involved in the allegation for investigation and action. refer to finding 1.&&9. establish a more effective liaison with the department of labor on issues involving employment, training and vocational rehabilitation of minority veterans. encourage dol to track veterans programs by race and ethnicity to ensure minority utilization trends are appropriate addressed. refer to finding 19 17.&&10. include in the vas fy year budget, 90,000 for advisory committee meetings and site visits. 18 appendix a advisory committee on minority veterans."
3,1999,"number 1. acting under secretary for health appoint a task force to recommend solutions to the situation in puerto rico and the u.s. virgin islands, with a view toward developing ways to improve services across the board. particular emphasis should be placed on the equitable allocation of funds under the veterans equitable resource allocation vera and the elimination of barriers that preclude full and unimpeded access to care and benefits. the task force should include in its assessment how improvements can be made in such areas as medical appointments, patient privacy, primary care teams management, pharmaceutical services, medical claims reimbursement, beneficiary travel, and implementation of eligibility reform guidance.&&number 2. director, san juan va medical center, explore operating a shuttle between the va medical center and outpatient clinics. the committee believes that implementation of a shuttle program will not only solve many transportation problems for the veterans, but will also reduce the overall cost of travel reimbursements.&&number 3. secretary emphasize and establish guidelines for increasing contracting opportunities for minorities, veterans and women owned businesses. further, the secretary should review, analyze and initiate corrective actions, especially in va central office vaco , where minority and small business contracting goals targets are not being achieved or are being ignored.&&number 4. secretary require that all form letters mailed to veterans residing in the caribbean be printed in both english and spanish to accommodate the veterans whomonthnot be bilingual.&&number 5. secretary ensure that the center for minority veterans is sufficiently staffed and funded to meet the statutory responsibilities outlined in public law 103 446. the committee recommends that the centers staff be immediately increased to seven people and that funding for such initiatives as a minority veterans summit be fully supported, funded and executed in calendar year year. 19.&&number 6. acting under secretary for health establish an inpatient ptsd program in puerto rico for veterans residing in the caribbean region.&&number 7. director, san juan vamc, initiate a project to relocate the spinal cord injury unit from the third floor to the main floor of the medical center.&&number 8. directors of the san juan, regional office, and the san juan medical center, establish mandatory cultural sensitivity training for employees at their facilities. the assistant secretary for human resources and administration and the director, va center for minority veterans, should assist in the development and implementation of the training.&&number 9. under secretary for benefits authorize an increase in staffing for the san juan regional office to handle the high volume of medical reimbursement claims.&&number 10. director, san juan regional office, and director, san juan va medical center, conduct more veterans information forums and town hall meetings in both puerto rico and the usvi. the mvpcs at these facilities should be an integral part of the planning and actual execution of town hall meetings and information forums.&&number 11. director, vamc san juan, appoint a working group to address and resolve the concerns of blind veterans. the working group should also focus on recommending the best location for ophthalmology services for blind veterans who reside in puerto rico.&&number 12. under secretary for benefits comply with the provisions of public law 105 297 and implement an effective outreach program to support the native american direct home loan program. in this regard, minority veterans program coordinators should be used to assist veterans.&&number 13. congress of the united states pass legislation to provide equitable va benefits to world war ii filipino veterans who reside in the united states.&&number 14. under secretary for benefits initiate a review of the vocational rehabilitation program in the caribbean. particular attention should be focused on improving program outcomes and effectiveness with regard to job placement of veterans who are declared job ready. 20 appendix a advisory committee on mhnority veterans."
4,2000,"number 3. recognize the appropriate regional and national minority organizations that serve our countrys diverse population groups and invite them as genuine partners, consultants, advisors and expert witnesses in enriching the departments commitment to serve the needs of minority veterans.&&number 7 direct that ethnic identifiers be included immediately on all appropriate department application forms, particularly the initial application form completed by all veterans, and be correlated with department of defense manpower files and the revisions to the office of management and budget directive 15.&&number 9 . authorize and fund a five member minority veterans review commission mvrc , chaired by the chairman, advisory committee on minority veterans, with consultative authority and staff support to conduct a series of focus meetings with minority veterans and organizations across the country, to include the pacific, to determine the blueprint of needs and concerns, as well as recommendations, of all our minority veterans and followed by a conference on the west coast, in the midwest, and on the east coast to report the findings to our minority veterans. their report would be presented to you for concurrence and advocacy by 1 march year. third annual report seven remain open.&&number 3 develop performance rating standards for all va management personnel facility directors that include rating factors to 19 measure outreach, equality of services, and support to minority veteran programs.&&number 7 establish wellness clinic outreach programs on indian reservations.&&number 15 replicate at other locations around the country the models of the center for aging that is being constructed at tripler hospital.&&number 18 initiate activities to insure more standardization of computer systems, and eligibility requirements throughout the va.&&number 28 investigate the claim by minority veterans that there are inconsistencies in rating board decisions for ptsd.&&number 34 review the sba veteran loan program and identify obstacles experienced by veterans trying to start businesses.&&number 57 va should identify tribal veterans representatives to attend the national veterans training institute disabled american veterans service officers academy, university of colorado, denver, colorado, to become certified claims representatives for indian veterans. fifth annual report recommendations.&&number .1l appointments, patient privacy, primary care teams management, pharmaceutical services, medical claims reimbursement, beneficiary travel, and implementation of eligibility reform guidance.&&number. acting under secretary for health establish an inpatient ptsd program in puerto rico for veterans residing in the caribbean region.&&number directors of the san juan, va regional office, and the san juan va medical center establish mandatory cultural sensitivity training for employees at their facilities. the assistant secretary for human resources and administration and the director, va center for minority veterans, should assist in the development and implementation of the training.&&number. director, va medical center san juan, appoint a working group to address and resolve the concerns of blind veterans. the working group should also focus on recommending the best location for ophthalmology services for blind veterans who reside in puerto rico. 20 in addition to the 18 recommendations that are outstanding, the committee.&&recommends that the secretary works out an agreement with the indian health service to provide proper medical care to veterans on a cost reimbursable basis. outreach programs at all levels be expanded, improved and managed by senior officials until the desired results are achieved. the issue of service to puerto rican veterans is escalated so that the secretary working with the congress can develop solutions. the committee recognizes that service to puerto rican veterans is tied to a larger political issue. increase the business being contracted from minority and women veterans owned businesses. continue to seek ways to deliver service to veterans living in remote areas. 21 appendix a advisory committee on minority veterans."
5,2001,"number 1. revitalize the small and disadvantaged business program to improve veterans participation in business opportunities with va.&&number 2. conduct a small minority business conference and include va senior management, contracting officers, and small business owners. request the secretary make this a matter of his interest and include it in evaluations.&&number 3. develop and implement a workforce diversity program with incentives to ensure the desired results for a comprehensive diversity plan. this is particularly important in addressing future workforce deficiencies. there are 35,827 full time permanent va employees who are 55 years or older. there are a total of 40,372 full time part time temporary va employees who are 55 years of age and over. this total includes the 35,827 full time permanent employees cited above. a diversity plan could be implemented without difficulty.&&number 4. reemphasize the need for sensitivity training throughout va, specifically in the health care system.&&number 5. establish partnerships with colleges and universities and utilize these institutions as a resource to recruit and educate persons on careers with va. 12."
6,2002,"1. recommends the undersecretary for health establish a center for excellence pertaining to dust induced lung disease and other environmental and occupational health issues.&&2. recommends that dust induced lung disease be included in veterans health initiative vhi . subcommittee on benefits and compensation.&&1. recommends the secretary direct and monitor department wide hiring policies and succession planning with a goal of ensuring minority veteran representation at all levels.&&2. recommends the secretary establish a senior executive level career position staffed by a native american veteran.&&3. recommends the under secretary for health increase mental health services at community based outreach clinics cbocs , through contract services, fee basis, and other available means. subcommittee on outreach.&&1. recommends the secretary provide additional funding be made available to increase the number of committee site visits.&&2. recommends that the secretary direct and resource outreach programs in minority communities by mvpcs with emphasis on enrollment and other va benefits.&&3. recommends that the under secretary for health establish an outreach program to inform former military personnel assigned to aircraft carriers and other naval vessels of potential health problems related to dust induced lung disease.&&4. recommends the secretary establish a recruitment and hiring goal to increase the number of bilingual minority veterans health care providers. 12 subcommittee on education, training and business opportunities.&&1. recommends that the sba and va coordinate the establishment of small business loan specialists at va offices. 13."
7,2004,"recommendation 1 strongly advise establishing additional cbocs throughout washington state. the impression of the committee is that veterans in the rural regions of the state are severely underserved.&&recommendation 2 recommend that visn 20 and the puget sound hcs establish a closer liaison and working relationship with kings county to improve veterans services especially homeless veterans and veterans in the prison population.&&recommendation 3 during the acmvs visit with dr. susan pendergrass, deputy director of visn 16, she indicated that there is no reliable data on ethnicity of veterans because information is self reported. this causes a problem in that va does not always know, ethnicity wise, whom we are serving. we do not believe this is a fault of va. title vi of the 1964 civil rights act has created this situation. clarification is needed so that racial and ethnic data can be collected. disclosure, tracking, and evaluation of ethnicity particularly of those being treated at va facilities are extremely important and are critical elements in allowing va to better understand and serve its minority customers. 11.&&recommendation 4 there is a perception, from the meeting in new orleans, of unfair ratings of minority veterans compared to whites. the va regional office is aware of this claim and is looking into the matter.&&recommendation 5 at the new orleans va medical center, a facilities management morale problem was brought up. mr. john church, medical center director, was clearly aware of the issues and was able to address them in detail. however, several members of the acmv interpreted the tone of mr. churchs responses as somewhat condescending. believe it was unintentional. mr. church did welcome any investigation that could evaluate and recommend improvements at the new orleans va medical center. the legislative staff panel also brought up issues of discriminations and a hostile work environment. it is my recommendation that these types of allegations and concerns be turned over to the eo representative at the appropriate va office."
8,2005,"1. san juan vamc should take steps to implement an in patient ptsd treatment program in puerto rico to address the needs of the current veteran population as well as the needs of returning operation iraqi freedom oif and operation enduring freedom oef . unresolved year concern.&&2. vha provide additional resources to san juan vamc for a increased staffing to support increased veteran population at the arecibo cboc, to include social workers; and bo resource a new cboc at humacao fajardo to address the needs of 12,000 plus veteran residing in that area.&&3. va to immediately provide bi lingual forms and publications in spanish and english for all va facilities in puerto rico and that english forms and publications be provided for veterans residing in the u.s. virgin islands. additionally, puerto rico va staff must conduct conversations in english when speaking with u.s. virgin island veterans. generally, va should evaluate the need for bilingual publications wherever a substantial spanish speaking population exists. moreover, facilities servicing major spanish 15 speaking populations should have budget augmentation to help them provide the necessary forms and publications in spanish. unresolved year concern.&&4. nca needs to immediately address the needs of the puerto rico national cemetery by a acquiring land for the expansion of the national cemetery as it is scheduled to run out of space as early as year; and b provide adequate maintenance funding to help it meet the requirements for national shrine status to include but not limited to the incorporation of a computerized locator kiosk, renovation of the administrative buildings and the upgrading of burial sites. recommendations specific to u.s. virgin islands.&&5. visn 8 to review san juan vamc fee basis management of healthcare contracts in u.s. virgin islands to address recurring payment problems of local caregivers.&&6. san juan vamc to improve services to virgin island cbocs by incorporating the following a identify new space for st. thomas cboc to bring it up to par with st. croix cboc; 6 budget and resource appropriate annual training and travel funds for usvi clinical staff; c review ftee requirements for the usvi clinics and vet centers that address the need for dedicated administrative assistants, social workers, pharmacy backup, vet center backup and medical staff backup; d include virgin island cbocs in all maintenance contracts for medical, information technology it and administrative equipment; and e address recurrent payment problems for fee basis caregivers and specifically, pay for health services in a timely manner. f conduct extensive outreach to female veterans apprising them of their healthcare benefits and provided them with reasonable access to gynecological services on the virgin islands. g immediately incorporate the use of the existing telehealth equipment on the u.s. virgin islands to provide clinical consults, psychological consults, veteran benefits hearings and consults as well as diabetes, amputee care and elder care training for veterans and their family members at a minimum. if necessary, budget for equipment upgrade and maintenance and establish a scheduling mechanism that ensures the availability of san juan vamc medical staff for regular delivery of healthcare services via the telehealth equipment. 16.&&7. san juan vamc varo nca coordinate outreach efforts to veterans on st. thomas and st. croix to ensure one stop assistance for veterans on the islands. this effort must include outreach to a inform oif oef veterans and their families on their benefits; b provide information on burial benefits bereavement counseling; c conduct town hall meetings on at least an annual basis on all the virgin islands; d identify a homeless coordinator for the usvi and have that individual provide outreach and coordination of services to homeless veterans this should not be a collateral duty that would impose more requirements on an already over burdened staff ; and e initiate outreach to elder veterans and their families to apprise them of their benefits. unresolved year concern.&&8. san juan vamc address elder veterans needs and care on the virgin islands to specifically identify appropriate medical services, per diem beds in u.s. virgin island based nursing homes.&&9. san juan varo to consider permanently stationing a veteran service counselor or representative in the u.s. virgin islands to a conduct outreach and assist veterans with their benefits claims; and b track and report separately usvi veterans application for home loan applications, vocational rehabilitation training, compensation and pension ratings and insurance applications. 17 appendix b."
